Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver
39:40.1,0.72,91.444042,1002.281647,-0.200455,-0.534821,-0.824356,1.002885,32.862186,-117.23393,14.494622,49.971401,75.402664,0,Naazneen
39:40.2,0.72,91.444042,1002.281647,-0.182983,-0.493118,-0.834305,0.986262,32.862186,-117.23393,14.494622,49.971401,74.800179,0,Naazneen
39:40.3,0.72,91.444042,1002.281647,-0.15831,-0.501007,-0.835571,0.987041,32.862186,-117.23393,14.494622,49.971401,77.230164,0,Naazneen
39:40.4,0.72,91.444042,1002.281647,-0.158768,-0.556747,-0.854675,1.032301,32.862186,-117.23393,14.494622,49.971401,75.781998,0,Naazneen
39:40.5,0.72,91.444042,1002.279282,-0.217957,-0.492905,-0.825455,0.985817,32.862186,-117.23393,14.494622,49.971401,76.733322,0,Naazneen
39:40.6,0.72,91.444042,1002.279282,-0.230118,-0.572418,-0.831619,1.035474,32.862186,-117.23393,15.499686,48.540681,77.020821,0,Naazneen
39:40.7,0.72,91.444042,1002.279282,-0.254974,-0.49968,-0.782013,0.962411,32.862186,-117.23393,15.499686,48.540681,75.450218,0,Naazneen
39:40.8,0.72,91.444042,1002.279282,-0.250534,-0.613174,-0.802216,1.040337,32.862186,-117.23393,15.499686,48.540681,74.193268,0,Naazneen
39:40.9,0.72,91.444042,1002.279282,-0.261581,-0.555267,-0.772583,0.986727,32.862186,-117.23393,15.499686,48.540681,73.836365,0,Naazneen
39:41.0,0.72,91.444042,1002.279282,-0.267792,-0.614105,-0.776779,1.025779,32.862186,-117.23393,15.499686,48.540681,75.381493,0,Naazneen
39:41.1,0.56,91.578259,1002.279282,-0.251358,-0.552094,-0.779724,0.987906,32.862182,-117.233935,15.499686,48.540681,75.112793,0,Naazneen
39:41.2,0.56,91.578259,1002.279282,-0.093872,-0.442444,-0.877579,0.987276,32.862182,-117.233935,14.345927,47.965598,75.40696,0,Naazneen
39:41.3,0.56,91.578259,1002.279282,-0.174545,-0.544662,-0.815201,0.995829,32.862182,-117.233935,16.539204,47.892784,75.7117,0,Naazneen
39:41.4,0.56,91.578259,1002.279282,-0.145187,-0.623657,-0.74791,0.984579,32.862182,-117.233935,15.502981,47.765032,75.080811,0,Naazneen
39:41.5,0.56,91.578259,1002.279282,-0.198654,-0.485336,-0.846954,0.996166,32.862182,-117.233935,15.502981,47.765032,76.235275,0,Naazneen
39:41.6,0.56,91.578259,1002.2789,-0.183044,-0.528427,-0.863586,1.028845,32.862182,-117.233935,15.502981,47.765032,75.52356,0,Naazneen
39:41.7,0.56,91.578259,1002.2789,-0.143829,-0.563065,-0.798599,0.987669,32.862182,-117.233935,15.502981,47.765032,75.618896,0,Naazneen
39:41.8,0.56,91.578259,1002.2789,-0.14241,-0.573929,-0.814468,1.006496,32.862182,-117.233935,16.600903,47.989765,76.9375,0,Naazneen
39:41.9,0.56,91.578259,1002.2789,-0.144211,-0.553848,-0.835373,1.012617,32.862182,-117.233935,16.600903,47.989765,77.033371,0,Naazneen
39:42.0,0.56,91.578259,1002.2789,-0.096268,-0.627914,-0.8134,1.032068,32.862182,-117.233935,17.889292,47.990752,77.018845,0,Naazneen
39:42.1,0.49,91.635876,1002.2789,-0.186966,-0.508423,-0.721375,0.902126,32.862177,-117.233938,17.889292,47.990752,76.744644,0,Naazneen
39:42.2,0.49,91.635876,1002.2789,-0.125748,-0.541275,-0.804504,0.977762,32.862177,-117.233938,17.889292,47.990752,75.20787,0,Naazneen
39:42.3,0.49,91.635876,1002.2789,-0.103912,-0.60994,-0.860764,1.060065,32.862177,-117.233938,17.889292,47.990752,77.198303,0,Naazneen
39:42.4,0.49,91.635876,1002.2789,-0.130264,-0.596115,-0.811523,1.015329,32.862177,-117.233938,17.889292,47.990752,76.357521,0,Naazneen
39:42.5,0.49,91.635876,1002.2789,-0.127396,-0.59433,-0.787537,0.994822,32.862177,-117.233938,17.889292,47.990752,74.197243,0,Naazneen
39:42.6,0.49,91.635876,1002.2789,-0.149536,-0.540283,-0.806,0.981785,32.862177,-117.233938,17.889292,47.990752,73.062866,0,Naazneen
39:42.7,0.49,91.635876,1002.2789,-0.154236,-0.558334,-0.809875,0.995703,32.862177,-117.233938,17.889292,47.990752,71.354225,0,Naazneen
39:42.8,0.49,91.635876,1002.274475,-0.170654,-0.551941,-0.779709,0.970416,32.862177,-117.233938,17.889292,47.990752,68.46283,0,Naazneen
39:42.9,0.49,91.635876,1002.274475,-0.146332,-0.615189,-0.805313,1.023914,32.862177,-117.233938,17.889292,47.990752,71.943275,0,Naazneen
39:43.0,0.49,91.635876,1002.274475,-0.146973,-0.566193,-0.798737,0.990028,32.862177,-117.233938,17.889292,47.990752,69.788689,0,Naazneen
39:43.1,0,91.6479,1002.274475,-0.160858,-0.576569,-0.790497,0.99156,32.862177,-117.233938,17.889292,47.990752,71.893372,0,Naazneen
39:43.2,0,91.6479,1002.274475,-0.163788,-0.579773,-0.795914,0.998219,32.862177,-117.233938,18.934336,47.43778,70.209839,0,Naazneen
39:43.3,0,91.6479,1002.274475,-0.141113,-0.618744,-0.786285,1.010446,32.862177,-117.233938,18.934336,47.43778,67.616325,0,Naazneen
39:43.4,0,91.6479,1002.274475,-0.172241,-0.637894,-0.762878,1.009237,32.862177,-117.233938,18.934336,47.43778,64.582825,0,Naazneen
39:43.5,0,91.6479,1002.274475,-0.174606,-0.62767,-0.742218,0.987596,32.862177,-117.233938,18.934336,47.43778,67.920845,0,Naazneen
39:43.6,0,91.6479,1002.274475,-0.162582,-0.667236,-0.758743,1.023391,32.862177,-117.233938,19.96888,47.332081,68.772873,0,Naazneen
39:43.7,0,91.6479,1002.274475,-0.176071,-0.644714,-0.752579,1.006495,32.862177,-117.233938,19.96888,47.332081,68.148392,0,Naazneen
39:43.8,0,91.6479,1002.274475,-0.170792,-0.666168,-0.737274,1.008228,32.862177,-117.233938,19.96888,47.332081,66.39695,0,Naazneen
39:43.9,0,91.6479,1002.270355,-0.131714,-0.652222,-0.744156,0.998253,32.862177,-117.233938,19.96888,47.332081,70.447227,0,Naazneen
39:44.0,0,91.6479,1002.270355,-0.156754,-0.644089,-0.73877,0.992574,32.862177,-117.233938,19.96888,47.332081,70.320808,0,Naazneen
39:44.1,0,91.644299,1002.270355,-0.143524,-0.622528,-0.767654,0.998716,32.862177,-117.233938,18.940687,47.033387,71.661232,0,Naazneen
39:44.2,0,91.644299,1002.270355,-0.136703,-0.674576,-0.745895,1.014939,32.862177,-117.233938,18.940687,47.033387,71.656334,0,Naazneen
39:44.3,0,91.644299,1002.270355,-0.124191,-0.606476,-0.75795,0.978634,32.862177,-117.233938,17.873249,46.494352,69.786728,0,Naazneen
39:44.4,0,91.644299,1002.270355,-0.105118,-0.667633,-0.764343,1.020296,32.862177,-117.233938,16.694929,45.460026,66.591492,0,Naazneen
39:44.5,0,91.644299,1002.270355,-0.099152,-0.624588,-0.741409,0.974489,32.862177,-117.233938,15.532876,44.855273,68.863876,0,Naazneen
