,Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver,outlier
109959,14:58.2,4.57,29.062325,1011.629181,0.145309,-0.666321,-0.46002200000000004,0.822629,32.718862,-117.15666399999999,75.197624,25.966234,0.0,0.0,Erik,True
274086,47:29.1,11.75,27.401375,1009.3517300000001,0.062943,-0.722809,-0.442993,0.850093,32.718864,-117.156462,77.195374,28.435494,0.0,0.0,Erik,True
273457,46:23.1,0.0,16.681214999999998,1010.341263,-0.095444,-0.613159,-0.572021,0.843968,32.719097999999995,-117.163945,7.3164940000000005,29.456799,0.0,0.0,Erik,True
487387,15:44.0,8.91,34.114452,1014.3286130000001,-0.254272,-1.135132,-0.11467000000000001,1.1689,32.721923,-117.163169,93.826965,50.176156,0.0,0.0,Erik,True
337732,10:27.1,29.780001000000002,48.925413,1007.4765779999999,0.12233,-0.962692,-0.590515,1.135979,32.724144,-117.15573,252.19906600000002,40.362017,0.0,0.008091,Daniel,True
62967,53:54.1,10.64,3.256813,1015.663834,0.019211000000000002,-1.141006,-0.039215,1.141842,32.72467,-117.171347,67.916344,48.173918,0.0,0.0,Erik,True
62968,53:54.1,8.12,3.641853,1015.6351470000001,0.102524,-1.13382,0.015854,1.138556,32.724694,-117.17127099999999,67.916344,48.173918,0.0,0.0,Erik,True
65512,58:11.0,8.19,10.270729,1014.9707789999999,0.022308,-1.156387,0.05127,1.157738,32.725103000000004,-117.16996499999999,69.205185,63.767993000000004,0.0,0.0,Erik,True
65513,58:11.1,7.7,10.473274,1014.9707789999999,-0.067291,-1.155624,-0.027908,1.157918,32.72513,-117.169876,69.205185,63.767993000000004,0.0,0.0,Erik,True
97069,19:04.2,17.34,-6.186314,1016.373367,0.607056,-0.9672700000000001,0.32150300000000004,1.1863780000000002,32.727662,-117.180821,265.169586,54.199573,0.0,0.0,Erik,True
96966,18:53.0,16.82,-0.7986979999999999,1016.406555,-0.24941999999999998,-1.079834,0.52713,1.2272399999999999,32.72787,-117.17898000000001,237.070663,45.603871000000005,0.0,0.0,Erik,True
96604,18:12.1,16.110001,11.556189999999999,1016.1563869999999,-0.184082,-1.055161,0.559647,1.208493,32.729387,-117.174301,239.14639300000002,48.009504,0.0,0.0,Erik,True
275082,49:17.1,13.54,43.467171,1007.7056880000001,-0.11088599999999998,-0.731155,-0.9799040000000001,1.227638,32.730713,-117.154431,353.683289,57.289454000000006,0.0,0.0,Erik,True
275083,49:17.2,12.84,43.452248,1007.7056880000001,-0.11088599999999998,-0.731155,-0.9799040000000001,1.227638,32.730821,-117.154422,353.683289,57.289454000000006,0.0,0.0,Erik,True
389899,16:11.1,25.0,26.251656,1011.7523189999999,0.117844,-0.707108,-0.448822,0.8457709999999999,32.730934000000005,-117.17123400000001,132.299118,9.580163,0.0,0.151843,Daniel,True
141136,45:15.1,23.25,45.870979,1013.307266,-0.098389,-0.9039309999999999,-0.747406,1.177025,32.73173,-117.154721,155.312698,19.400813,0.0,0.0,Erik,True
95514,16:07.0,22.110001,6.388496,1014.396362,0.048386,-1.141724,0.5744020000000001,1.278988,32.736348,-117.176276,132.079407,7.8621039999999995,0.0,0.0,Erik,True
338426,11:53.1,34.790001000000004,35.331631,1009.377289,0.017609,-0.648804,-0.575653,0.8675440000000001,32.736771999999995,-117.17603500000001,311.664368,14.772136999999999,0.0,0.008091,Daniel,True
486447,14:03.1,29.75,21.273204999999997,1013.790741,-0.154633,-0.81781,-0.259384,0.871782,32.737454,-117.176915,132.074524,44.076465999999996,0.0,0.0,Erik,True
