sep=,
Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
"2018-10-16 08:32:01.309",0.000000,17.370237,1013.976440,0.311264,0.340836,-0.898911,1.010492,32.718774,-117.164230,175.279160,59.570478,0.000000,0.000000
"2018-10-16 08:32:01.410",0.000000,17.370237,1013.976440,0.686188,0.235291,-0.851944,1.118939,32.718774,-117.164230,173.648743,60.340015,0.000000,0.000000
"2018-10-16 08:32:01.524",0.000000,17.370237,1013.976440,0.530136,0.253769,-0.845734,1.029907,32.718774,-117.164230,173.648743,60.340015,0.000000,0.000000
"2018-10-16 08:32:01.621",0.000000,17.370237,1013.976440,0.424744,0.193756,-0.849762,0.969559,32.718774,-117.164230,170.448486,60.733332,0.000000,0.000000
"2018-10-16 08:32:01.723",0.000000,17.370237,1013.976440,0.527939,0.109528,-0.796616,0.961931,32.718774,-117.164230,170.448486,60.733332,0.000000,0.000000
"2018-10-16 08:32:01.823",0.000000,17.370237,1013.976440,0.615875,0.130707,-0.829727,1.041554,32.718774,-117.164230,170.448486,60.733332,0.000000,0.000000
"2018-10-16 08:32:01.922",0.000000,17.370237,1013.976440,0.580597,0.098801,-0.849197,1.033436,32.718774,-117.164230,170.448486,60.733332,0.000000,0.000000
"2018-10-16 08:32:02.022",0.000000,17.370237,1013.976440,0.584625,0.053299,-0.800171,0.992422,32.718774,-117.164230,171.995117,61.256708,0.000000,0.000000
"2018-10-16 08:32:02.123",0.000000,17.370237,1013.976440,0.576584,0.100555,-0.797974,0.989607,32.718774,-117.164230,173.398636,60.787429,0.000000,0.000000
"2018-10-16 08:32:02.224",0.000000,17.370237,1013.976440,0.827377,0.102676,-0.868774,1.204103,32.718774,-117.164230,174.415802,60.738242,0.000000,0.000000
"2018-10-16 08:32:02.310",0.000000,17.370237,1013.976440,0.625656,0.051666,-0.776993,0.998916,32.718774,-117.164230,174.415802,60.738242,0.000000,0.000000
